condition_type,condition_label,model_id,prompt_label,run_index,generation_success,execution_success,degenerate_ranking,latency_s,n_operations,error,structural_deviation
model,model_frontier_same_vendor,gpt-4o,base,0,True,True,False,16.896868210999855,9,,
model,model_frontier_same_vendor,gpt-4o,base,1,True,True,False,15.546104285000183,9,,
model,model_frontier_same_vendor,gpt-4o,base,2,True,True,False,16.52530580599978,9,,
model,model_frontier_same_vendor,gpt-4o,base,3,True,True,False,16.28720202400018,9,,
model,model_frontier_same_vendor,gpt-4o,base,4,True,True,False,17.350251896999907,9,,
model,model_weak_legacy,qwen3-235b-a22b-fp8-tput,base,0,False,False,,4.242125772999316,0,"generation: LLMSpecGenerationError: LLM HTTP error 400: {
  ""error"": {
    ""message"": ""Invalid request. Please check your request parameters Please contact support at support@avalai.ir and include the request ID 01a0ab20-4514-76b2-9f4f-de5faab5f18e in your email if you believe this is an error."",
    ""type"": ""invalid_request"",
    ""param"": null,
    ""code"": ""invalid_request"",
    ""request_id"": ""01a0ab20-4514-76b2-9f4f-de5faab5f18e""
  }
}",
model,model_weak_legacy,qwen3-235b-a22b-fp8-tput,base,1,False,False,,4.0952961640005014,0,"generation: LLMSpecGenerationError: LLM HTTP error 400: {
  ""error"": {
    ""message"": ""Invalid request. Please check your request parameters Please contact support at support@avalai.ir and include the request ID 01a0ab20-5592-7dc3-9cfd-fd3d1e19fe99 in your email if you believe this is an error."",
    ""type"": ""invalid_request"",
    ""param"": null,
    ""code"": ""invalid_request"",
    ""request_id"": ""01a0ab20-5592-7dc3-9cfd-fd3d1e19fe99""
  }
}",
model,model_weak_legacy,qwen3-235b-a22b-fp8-tput,base,2,False,False,,3.2898345890007477,0,"generation: LLMSpecGenerationError: LLM HTTP error 400: {
  ""error"": {
    ""message"": ""Invalid request. Please check your request parameters Please contact support at support@avalai.ir and include the request ID 01a0ab20-6594-7c00-b904-c1e041e6ebb0 in your email if you believe this is an error."",
    ""type"": ""invalid_request"",
    ""param"": null,
    ""code"": ""invalid_request"",
    ""request_id"": ""01a0ab20-6594-7c00-b904-c1e041e6ebb0""
  }
}",
model,model_weak_legacy,qwen3-235b-a22b-fp8-tput,base,3,False,False,,3.46052857199993,0,"generation: LLMSpecGenerationError: LLM HTTP error 400: {
  ""error"": {
    ""message"": ""Invalid request. Please check your request parameters Please contact support at support@avalai.ir and include the request ID 01a0ab20-7276-7cc3-9c86-51081a9b5499 in your email if you believe this is an error."",
    ""type"": ""invalid_request"",
    ""param"": null,
    ""code"": ""invalid_request"",
    ""request_id"": ""01a0ab20-7276-7cc3-9c86-51081a9b5499""
  }
}",
model,model_weak_legacy,qwen3-235b-a22b-fp8-tput,base,4,False,False,,4.718218536000677,0,"generation: LLMSpecGenerationError: LLM HTTP error 400: {
  ""error"": {
    ""message"": ""Invalid request. Please check your request parameters Please contact support at support@avalai.ir and include the request ID 01a0ab20-7fff-7e92-9e4a-9d3fc430afeb in your email if you believe this is an error."",
    ""type"": ""invalid_request"",
    ""param"": null,
    ""code"": ""invalid_request"",
    ""request_id"": ""01a0ab20-7fff-7e92-9e4a-9d3fc430afeb""
  }
}",
